prompt	epoch	decoding	generated
Where did he go yesterday? 	1	default	"Where did he go yesterday? ailing on the Turtle, the hair and saw the cut, cuttingly full of window.
Down frolic had built about the hollow aspect, and terror was smiling allowed to In Melished a pin which grcoize one wanted to tell her clothes for"
Where did he go yesterday? 	1	greedy	"Where did he go yesterday? in's boy, and he was so much that he was so much.
He was so much that he was so much.
He was so much, and he was so much, and he was so much.
He was so much"
Where did he go yesterday? 	1	entmax	"Where did he go yesterday? asser and go and be a little woman, and I couldn't be a bit, but I am glad that I didn't think I did.
I hadn't think he could, and he didn't be afraid that she"
Where did he go yesterday? 	2	default	"Where did he go yesterday? ift alone with the wall of the evening, and, Marilla is going to play.
And here is a good lady.
The doctor died with it, and saving me a sour little.
May the de possessed it, he orphralands"
Where did he go yesterday? 	2	greedy	"Where did he go yesterday? o? ''
`` I'm going to see you, '' said the Story Girl.
`` I'm going to be a good time.
I'm going to be a good deal of you.
I'm going to"
Where did he go yesterday? 	2	entmax	"Where did he go yesterday? orous.
`` I'm glad to tell you what is to do with me? ''
said Dan.
`` I don't want to know what you can.
But I don't think it is.
It '"
Where did he go yesterday? 	3	default	"Where did he go yesterday? isfied, peeping round the bench.
Anne could cry very well again ; then Sammy alighted down on the stairs to theumai squirdale and watched him.
`` Was I ever minded his work? ''
and Blacky beckoned as the answers"
Where did he go yesterday? 	3	greedy	"Where did he go yesterday? 4990000000000000000.
The next morning, the next day, the next day, the next day, and the next day, when the next day came to the house"
Where did he go yesterday? 	3	entmax	"Where did he go yesterday? idly?
And then he saw him.
`` I thought I 'd never come out. ''
`` I didn't. ''
`` You know, '' said Felicity, `` you know it.
But I didn't want"
Where did he go yesterday? 	4	default	"Where did he go yesterday?  swampily?
The grey clouds was torn with shame and very softlilled rats than them.
H perched in the golden coquots, and without stealing the hole of the sun-bed.
The plough was the Spurch of D"
Where did he go yesterday? 	4	greedy	"Where did he go yesterday? identically?
He was a little girl, and had a good deal of the family, and had a good deal of the family.
He had a good deal of his own, and had a good deal of his own, and had a"
Where did he go yesterday? 	4	entmax	"Where did he go yesterday? idly?
The first thing he did, was a good man.
The boy, the only thing to do was to do, had to have the best of it, had to do the same thing.
`` He has no good luck,"
Where did he go yesterday? 	5	default	"Where did he go yesterday? uring his devors? ''
`` Not afterwards just like anger, '' said Jerry.
`` And so go into town to-morrow at night -- can't reward horror -- and he 'll die! ''
And Dick sprang hands upon"
Where did he go yesterday? 	5	greedy	"Where did he go yesterday? idly?
He was a very good-looking man, and he was a very good-looking man, and he was a very good-natured man.
He was a very good-natured, and he was a very good-natured,"
Where did he go yesterday? 	5	entmax	"Where did he go yesterday? icy? ''
`` Yes. ''
`` Yes. ''
`` Yes, sir, '' answered the old woman.
`` I was glad that the child would not be able to tell you.
And if he does not come, I"
Where did he go yesterday? 	6	default	"Where did he go yesterday? itten? ''
Now Johno crossed again.
`` It was all my time since I had dropped my Mark Campbell highest-child, '' he replied in the face, with a lookedache about his book, as he blew out his arms and"
Where did he go yesterday? 	6	greedy	"Where did he go yesterday? idly?
He was a little boy, and he was a very good man, and he was a very good man, and he was very good to him.
He was very kind to him, and he was very kind to him, and"
Where did he go yesterday? 	6	entmax	"Where did he go yesterday? identally? ''
`` It was a very long time, and it didn't seem likely to be the least bit. ''
`` But it wasn't -- I don't think he was afraid, '' said Faith, as he"
Where did he go yesterday? 	7	default	"Where did he go yesterday? & Blossom if he had done anything about it? ''
`` Oh, Marilla, I couldn't help coming up tomorrow. ''
At first, Anne felt the clinting of Thyra's most accentation that she could attend to"
Where did he go yesterday? 	7	greedy	"Where did he go yesterday? idly?
He was a very good man, and he was a very good man, and he was a very good man, and he was a very good man, and he was a very good man, and he was a very good man,"
Where did he go yesterday? 	7	entmax	"Where did he go yesterday? ze? ''
said the doctor.
`` He wasn't in his house, and he didn't want to know, but I've seen the house. ''
`` It's a long, long, long, long way"
Where did he go yesterday? 	8	default	"Where did he go yesterday? peror? ''
he demanded.
`` Stop over at once, '' suggested the Ghost.
`` Shall it fight? ''
asked Captain Jim, with much pride.
`` For her sake, no.
I intend no love and blood"
Where did he go yesterday? 	8	greedy	"Where did he go yesterday? idly?
He was a very good man, and he was a very good man, and had no business to be seen.
He was a very good man, and had no business to be a good man.
He was a very good"
Where did he go yesterday? 	8	entmax	"Where did he go yesterday? icy?
The man had come out from the kitchen, and he was a very handsome boy, but had not a heart in his head.
`` I thought, '' he said, `` that he would not go, for he was in his"
Where did he go yesterday? 	9	default	"Where did he go yesterday? 5 North?
So little Mowgli watched him.
The smell acted, as if he were not a very fierce black huisro and the bark of the partly sun just goodness resolved to kill him and help him.
He shivered at the"
Where did he go yesterday? 	9	greedy	"Where did he go yesterday? idly?
He was a tall, handsome man, with a white face and a face like a man's.
He was a tall, handsome man, with a white hair and a black, black eyes, and a black, black eyes"
Where did he go yesterday? 	9	entmax	"Where did he go yesterday? 79?
-- `` I don't believe it, but I can't believe it, for the doctor's sake, and the doctor's wife told me that, and he was so good as he. ''
`` He"
Where did he go yesterday? 	10	default	"Where did he go yesterday? idly? ''
` We saw him last night in the stone wall,'asked the doctor.
` The Lady of the Our Destiny Dick died, Hugh.
You are not the Lord of the Cord of Ebene,"
Where did he go yesterday? 	10	greedy	"Where did he go yesterday? idly?
He was a very good man, and he was a very good man, and he was a very good man.
He was a very good man, and he was a very good man, and he was a very good man."
Where did he go yesterday? 	10	entmax	"Where did he go yesterday? icy? ''
asked the prince.
`` No, '' replied the prince, `` it is all I can to tell.
But, my dear father, I will go with you, and you will see what it is, for you will"
Where did he go yesterday? 	11	default	"Where did he go yesterday?  Shadow the Weasel had bound his back?
It would almost do any good if Gray Wakefield had found out.
`` I don't believe that Farmer Brown's boy didn't wait long after Umonon the Woodpecker went"
Where did he go yesterday? 	11	greedy	"Where did he go yesterday? idly?
He was a tall, thin, brown-haired man, with a white beard, a white beard, and a long, long, long, long, long, long, long, long, long, long, long, long,"
Where did he go yesterday? 	11	entmax	"Where did he go yesterday? Ælue? ''
`` What a fool! ''
said the old man.
`` It is the most beautiful thing I have ever seen in the world, '' said the Jackal.
`` It was a very beautiful dream. ''"
Where did he go yesterday? 	12	default	"Where did he go yesterday? 55?
Twenty years ago he offered Jolision of their Dominicians, the Remediate Exeter recommendations of the North is found.
But he insinuating himself -- he must never have been drunk"
Where did he go yesterday? 	12	greedy	"Where did he go yesterday? idly?
He had never seen a man like that before.
He had never seen a woman so beautiful as that.
He had never seen her before.
He had never seen her before.
He had never seen her before.
"
Where did he go yesterday? 	12	entmax	"Where did he go yesterday? & Co. Reese? ''
`` Well, he was a good man -- and his father had gone.
But I don't believe he did -- and I 'd have thought of a little boy. ''
`` And now I"
Where did he go yesterday? 	13	default	"Where did he go yesterday? & or WHY BETY?
-- is he exactly uncont whether he calling me names?
I guess the fairies will think his mother taught me -- or but I will tell him my plans for nothing. ''
`` I am glad of"
Where did he go yesterday? 	13	greedy	"Where did he go yesterday? idly?
He was a tall, thin, thin, thin, thin, and thin, and a tall, thin, hazel-faced man, with a long, long, long, long, long, long, long, long, long"
Where did he go yesterday? 	13	entmax	"Where did he go yesterday? 400? ''
`` Oh, '' said Murray, `` I 'd like to see him in a minute, and I don't believe it. ''
`` But I 'll go, '' said the Story Girl.
``"
Where did he go yesterday? 	14	default	"Where did he go yesterday? iciterously, brother?
He went on, but more than Sammy, to his great rage, nearly an eyelid anger, was so full of terror that he did not dare to inquire about it.
He made up his mind that"
Where did he go yesterday? 	14	greedy	"Where did he go yesterday? idly?
He was a tall, thin, thin, thin, and thin, and thin, and a little fellow, with a long, long, long, long, long, long, long, long, long, long, long, long"
Where did he go yesterday? 	14	entmax	"Where did he go yesterday? Ælue?
-- Agnes. '
He turned and went on, but the lama had never heard of a Sahib's face.
He had heard his tale.
` But I have never seen such a thing before"
Where did he go yesterday? 	15	default	"Where did he go yesterday? 420? ''
`` I don't know, sir '' said I. -LRB- I answered in short words, and he followed me abruptly -RRB- clapping my hands in dismay, as if to see me keep quiet.
"
