prompt	epoch	decoding	generated
Where did he go yesterday? 	1	default	"Where did he go yesterday?  should Oh tears under the the skyral night? 
 dropped the progra Peppere dadadadczardslo! 
 oh you'd hit it? 
 and it can't me  and showwhichles_ plastic heeiv . 
 xxx. 
 on"
Where did he go yesterday? 	1	greedy	"Where did he go yesterday? 
 he's gonna go to the other one of the other one of the other one of the one of the one of the one of the one of the one.
 one.
 one one one one one one one one one one one one one"
Where did he go yesterday? 	1	entmax	"Where did he go yesterday? 
 he doesn't know he was still a little bit.
 what did he doing?
 oh he doesn't think he doesn't he's got to look like?
 he doesn't think he doesn't he doesn't he?
 what is"
Where did he go yesterday? 	2	default	"Where did he go yesterday?  he was going now ⌈ nest and_Gitkie ⌋.
 and he saw that like this stuff was like a fenceed to him about disappearate you thought it was called a  pair of wooden himself and about other Justin does he play with the"
Where did he go yesterday? 	2	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what is this?
 what more can you tell me?
 what more can you tell me?
 what more can you tell me?
 what more can you tell me?
 what more can"
Where did he go yesterday? 	2	entmax	"Where did he go yesterday? 
<|endoftext|>
okay what else do you want for me?
<|endoftext|>
<|endoftext|>
what's that?
 what else did we have here for?
 okay, okay, okay, we'll put it back here,"
Where did he go yesterday? 	3	default	"Where did he go yesterday?  I guess that kind of better.
 it's just take it out.
 yeah.
 does he drink your attention mommy?
 come back here whoa!
 yeah do you think where it way?
 okay let's see if these gonna bounce"
Where did he go yesterday? 	3	greedy	"Where did he go yesterday?  what did he do?
 what did he do?
 what did he do?
 what did he do?
 what did he do?
 what did he do?
 what did he do?
 what did he do?
 what did"
Where did he go yesterday? 	3	entmax	"Where did he go yesterday?  oh!
 he's a very good boy?
 oh.
 yeah?
 oh I'm sure he's a big boy.
 I don't think he's a nice boy.
 he's a boy.
 what's he doing?"
Where did he go yesterday? 	4	default	"Where did he go yesterday? 
 oh I remember the difference that towers.
 that's okay.
 and especially when I was thinking.
 I was talking about your teacher you did not know them.
 you were a good job.
 and so I'm not actually   
"
Where did he go yesterday? 	4	greedy	"Where did he go yesterday? 
<|endoftext|>
what's this?
 what more can you tell me?
 mm.
 what more can you tell me?
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
"
Where did he go yesterday? 	4	entmax	"Where did he go yesterday? 
<|endoftext|>
okay, we have the best game we got to see that at the park at the park and you can see that one at the park?
 do you see that at school?
 no.
 I think it's not"
Where did he go yesterday? 	5	default	"Where did he go yesterday?  did he bite you?
 it looks like an orange noodle but it's probably salt.
 in the bowl I bet a nickel.
 where was a smart car?
 in the big school glasses?
 why do you think the only person who"
Where did he go yesterday? 	5	greedy	"Where did he go yesterday?  did he go to the store?
 did he go to the store?
 did he go to the store?
 did he go to the store?
 did he go to the store?
 did he go to the store?
 did he"
Where did he go yesterday? 	5	entmax	"Where did he go yesterday?  what did he say?
 he didn't have any?
 what kind of ice cream?
 no.
 you know what that is?
 what do you think he is?
 I don't think he is?
 I think he's"
Where did he go yesterday? 	6	default	"Where did he go yesterday?  did you call a girl why?
 oh I have a dad.
 he's having a hat and a sleaize Chantilly and I've only got the hat on when you saw him what?
 remember you were at the spare engine?
"
Where did he go yesterday? 	6	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm."
Where did he go yesterday? 	6	entmax	"Where did he go yesterday?  did he get up?
 oh he did?
 did you see the fish in the water?
 you saw that?
 oh yeah.
 he's got the water on him?
 yeah?
 you think that's the water?
"
Where did he go yesterday? 	7	default	"Where did he go yesterday? 
 sure.
 much is there anything else you'd like to tell me?
 no, that's that.
 okay great.
 it looks to me like a blue blue muffin.
 mm-hm.
 and it looks like it has"
Where did he go yesterday? 	7	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm."
Where did he go yesterday? 	7	entmax	"Where did he go yesterday? 
 he's got a big tail and he has a big tail and he has a little tail and he has a big tail.
 and a big tail and a big tail and a little tail.
 mm-hm.
 um and it looks"
Where did he go yesterday? 	8	default	"Where did he go yesterday?  because he got little nail on his peel.
                       ⌈mm-hm⌉.
 and his horse's very soft.
 he's got a boatal on his lion-why not⌉.
 and ⌊happy⌋.
 and so, I think"
Where did he go yesterday? 	8	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm.
 mm."
Where did he go yesterday? 	8	entmax	"Where did he go yesterday?  did you go to the doctor?
 did you like to see Firstname's?
 what is he doing?
 what is he doing?
 oh he's trying to catch him.
 I think he's gonna catch something.
 is he gonna"
Where did he go yesterday? 	9	default	"Where did he go yesterday? 
 oh!
 are you sure?
 do you think he would like to go on a leaf?
 do you think he would like to go spit ⌊plaffies⌋?
 or lick him?
 first don't ⌈The_Harent"
Where did he go yesterday? 	9	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 zorg doesn't know much about this one.
 can you help him out?
 mm.
 what is this?
 what more can you"
Where did he go yesterday? 	9	entmax	"Where did he go yesterday?  what's he doing?
 yeah.
 he's looking at you.
 yeah.
 he's looking at you.
 what do you see?
 he's looking at you.
 yeah?
 do you see the little girl?
"
Where did he go yesterday? 	10	default	"Where did he go yesterday? rog driver.
 Horgster Joseph see.
 chop down?
 wow.
 do you think he recognizes the best?
 I think you just like those today.
 you really.
 and they if you were known, they were"
Where did he go yesterday? 	10	greedy	"Where did he go yesterday?  he's a big guy.
 he's a big guy.
 he's a big guy.
 he's a big guy.
 he's a big guy.
 he's a big guy.
 he's a big guy.
 he"
Where did he go yesterday? 	10	entmax	"Where did he go yesterday? 
 oh!
 did he have a nice one?
 yeah?
 you don't want to play with that?
 no?
 what's that?
 that's right.
 do you know what this is?
 a dolphin.
"
Where did he go yesterday? 	11	default	"Where did he go yesterday? 
<|endoftext|>
yes xxx.
 what's her name Poo has in her requancer?
 I think Lartado?
 sposta be a Chorcake caterpillar about farms.
  what's the matter?
 he's picking"
Where did he go yesterday? 	11	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 zorg doesn't know much about this one.
 can you help him out?
 mm.
 what is this?
 what more can you"
Where did he go yesterday? 	11	entmax	"Where did he go yesterday? 
<|endoftext|>
okay what is this?
 a carrot.
 mm-hm.
 it's got a, carrot on it.
 it's got some green carrots.
 mm-hm.
 um.
 tell me more."
Where did he go yesterday? 	12	default	"Where did he go yesterday? 
<|endoftext|>
where's your xxx this no?
 why don't you left overthere xxx.
 guess xxx .
 we've already been inlord.
 xxx.
 I've already hicmit those people xxx.
"
Where did he go yesterday? 	12	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 zorg doesn't know much about this one.
 can you help him out?
 what is this?
 what more can you tell me?
 zorg doesn"
Where did he go yesterday? 	12	entmax	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 what else can you tell Zorg?
 he doesn't know much about this one.
 what is this?
 what more can you tell me?
 what"
Where did he go yesterday? 	13	default	"Where did he go yesterday? 
<|endoftext|>
what is this?
 this is a lion.
 oh, but ⌈ first lady beginning to the picture⌉.
 ⌊um⌋ is the giant telling the turtle what is she using?
 uh-huh.
 what is"
Where did he go yesterday? 	13	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 zorg doesn't know much about this one.
 can you help him out?
 mm.
 what is this?
 what more can you"
Where did he go yesterday? 	13	entmax	"Where did he go yesterday? 
<|endoftext|>
what's that?
 what is this?
 what more can you tell me?
 what else can you tell Zorg?
 he doesn't know much about this one.
 mm-hm.
 what more can you"
Where did he go yesterday? 	14	default	"Where did he go yesterday? 
 did Daddy catch any foods?
 maybe think so.
 what flavor or cones do you know?
 grandma probably went to the store and looked at the store.
 remember how she found this stuff?
 and she found a ice cream cone"
Where did he go yesterday? 	14	greedy	"Where did he go yesterday? 
 what's that?
 what's that?
 what's that?
 what's that?
 what's that?
 what's that?
 what's that?
 what's that?
 what's that?
 what's that?"
Where did he go yesterday? 	14	entmax	"Where did he go yesterday? 
 yeah?
 did you see any other things that we didn't see at the zoo?
 no?
 yeah?
 what is it?
 mm-hm.
 mm-hm.
 oh what do you see in there?
"
Where did he go yesterday? 	15	default	"Where did he go yesterday? 
 and did he come home?
 did he come home too?
 did anything else happen to him?
 then what happened to your arm?
 huh?
 maybe it's you something that happened to him.
 sad boy.
 remember"
Where did he go yesterday? 	15	greedy	"Where did he go yesterday? 
<|endoftext|>
what is this?
 what more can you tell me?
 mm.
 zorg doesn't know much about this one.
 can you help him out?
 what is this?
 what more can you tell me?"
Where did he go yesterday? 	15	entmax	"Where did he go yesterday? 
<|endoftext|>
okay this is participant five six nine one nine two p. 
 this is their first visit.
 and then I'm gonna ask you a few questions about what he played with last time.
 okay.
 um what did"
Where did he go yesterday? 	16	default	"Where did he go yesterday?  that's a nice book.
 you know what you might wanna eat?
 what's that a judge.
 doing a special picture?
 I don't know, what that picture is.
 what is he?
 that's something he has"
Where did he go yesterday? 	16	greedy	"Where did he go yesterday?  oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh.
 oh."
Where did he go yesterday? 	16	entmax	"Where did he go yesterday?  oh he's a cute guy.
 do you think he'd like to have a name for a friend?
 what would you like to do?
 do you want to play with the next one?
 what's this?
 what is it"
